Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Autauga County, AL,1001,14,55416,Unreliable,13.8,42.4,6.8,0.00%
,Baldwin County, AL,1003,42,208563,20.1,14.5,27.2,3.1,0.10%
,Blount County, AL,1009,11,57704,Unreliable,9.5,34.1,5.7,0.00%
,Calhoun County, AL,1015,25,114611,21.8,14.1,32.2,4.4,0.10%
,Chambers County, AL,1017,15,33843,Unreliable,24.8,73.1,11.4,0.00%
,Coffee County, AL,1031,10,51226,Unreliable,9.4,35.9,6.2,0.00%
,Cullman County, AL,1043,19,82471,Unreliable,13.9,36,5.3,0.00%
,DeKalb County, AL,1049,10,70900,Unreliable,6.8,25.9,4.5,0.00%
,Elmore County, AL,1051,21,81799,25.7,15.9,39.2,5.6,0.00%
,Escambia County, AL,1053,10,37728,Unreliable,12.7,48.7,8.4,0.00%
,Etowah County, AL,1055,17,102564,Unreliable,9.7,26.5,4,0.00%
,Houston County, AL,1069,10,104056,Unreliable,4.6,17.7,3,0.00%
,Jackson County, AL,1071,14,52138,Unreliable,14.7,45.1,7.2,0.00%
,Jefferson County, AL,1073,84,659521,12.7,10.2,15.8,1.4,0.20%
,Lauderdale County, AL,1077,20,92318,21.7,13.2,33.5,4.8,0.00%
,Lee County, AL,1081,17,158991,Unreliable,6.2,17.1,2.6,0.00%
,Limestone County, AL,1083,10,92753,Unreliable,5.2,19.8,3.4,0.00%
,Madison County, AL,1089,76,356967,21.3,16.8,26.6,2.4,0.20%
,Marshall County, AL,1095,17,95157,Unreliable,10.4,28.6,4.3,0.00%
,Mobile County, AL,1097,70,414836,16.9,13.2,21.3,2,0.20%
,Montgomery County, AL,1101,30,226349,13.3,8.9,18.9,2.4,0.10%
,Morgan County, AL,1103,28,119012,23.5,15.6,34,4.4,0.10%
,St. Clair County, AL,1115,16,88019,Unreliable,10.4,29.5,4.5,0.00%
,Shelby County, AL,1117,31,210622,14.7,10,20.9,2.6,0.10%
,Talladega County, AL,1121,10,80103,Unreliable,6,23,3.9,0.00%
