State,County,Type,Mapping Zones,Impervious Cover %,Impervious Cover (m2/person),Tree Canopy Cover %,Tree Canopy Cover (m2/person),Total Green Space (ha),Canopy Green Space %,Available Green Space (ha)
Alabama,Autauga,County,46,0.008594851,303.4645417,0.567194257,20026.3329,152866.9952,0.572111712,65410.2016
Alabama,Baldwin,County,46,0.012083756,356.4839939,0.575550989,16979.38254,409233.9968,0.582590894,170818.9952
Alabama,Barbour,County,46,0.005890695,462.9554377,0.60596603,47623.45836,226867.9936,0.609557109,88579.0016
Alabama,Bibb,County,48,0.00338336,261.4890041,0.715375433,55289.06098,160413.0048,0.717803388,45268
Alabama,Blount,County,48,0.008457648,276.6012073,0.429399482,14043.19599,165458.9952,0.433061999,93804.9024
Alabama,Bullock,County,46,0.003735227,510.8511183,0.593771039,81207.5315,159608.9984,0.595997114,64482.5024
Alabama,Butler,County,46,0.004589421,430.2911351,0.685871187,64305.34212,199710.0032,0.689034096,62103.3984
Alabama,Calhoun,County,48,0.024129485,338.0814083,0.53686711,7522.116152,153479.0016,0.550140415,69043.8016
Alabama,Chambers,County,54,0.008545116,359.7709319,0.563059592,23706.22945,152707.9936,0.567910672,65983.3024
Alabama,Cherokee,County,48,0.008366863,503.0932133,0.476928955,28677.38136,143031.0016,0.480953791,74239.8976
Alabama,Chilton,County,46,0.007671276,347.3240219,0.604799966,27382.87031,177886.0032,0.609474587,69469.9008
Alabama,Choctaw,County,46,0.002502779,371.1562618,0.740955308,109881.9224,235529.0112,0.742812938,60574.2976
Alabama,Clarke,County,46,0.002884273,331.5703161,0.789743255,90787.30829,319428.992,0.792028896,66432.6976
Alabama,Clay,County,54,0.002056679,225.8355549,0.739905051,81245.96604,156194.9952,0.741432207,40388.3008
Alabama,Cleburne,County,54,0.004677234,479.5730369,0.682772968,70007.08178,144130.9952,0.685980149,45260.9984
Alabama,Coffee,County,46,0.008298497,332.5415568,0.547493832,21939.44799,173326.0032,0.552074707,77637.1008
Alabama,Colbert,County,48,0.017004056,474.8999709,0.43101918,12037.77448,150952,0.438473814,84763.0976
Alabama,Conecuh,County,46,0.003030394,473.2756051,0.678391169,105948.6135,219370.0096,0.680453093,70098.8032
Alabama,Coosa,County,54,0.002196411,303.6551385,0.753011091,104104.24,168322.9952,0.754668092,41297.9008
Alabama,Covington,County,46,0.006582785,467.4470516,0.597407263,42422.20552,265460.992,0.601365196,105822.0032
Alabama,Crenshaw,County,46,0.004040061,465.0779363,0.653811647,75264.54329,156671.0016,0.656464804,53821.7024
Alabama,Cullman,County,48,0.0164669,406.637585,0.338248918,8352.799969,188188.0064,0.343911396,123468.0064
Alabama,Dale,County,46,0.014095703,415.7198396,0.557508339,16442.40624,142851.9936,0.565479666,62072.4992
Alabama,Dallas,County,46,0.007398765,400.7850749,0.552697584,29939.17929,249296.9984,0.556817794,110483.9936
Alabama,DeKalb,County,48,0.013549174,422.7983616,0.392673062,12253.25836,198396.0064,0.39806598,119421.0048
Alabama,Elmore,County,46,0.007995784,194.7384401,0.590123644,14372.54492,159153.9968,0.594881086,64477.4976
Alabama,Escambia,County,46,0.006402304,408.5067638,0.571396378,36458.63559,243700.992,0.575077656,103553.9968
Alabama,Etowah,County,48,0.030810365,413.334751,0.444801795,5967.213911,134519.0016,0.458940355,72782.4
Alabama,Fayette,County,46,0.004110158,361.0694782,0.686530151,60310.35415,161807.0016,0.689364483,50263.8016
Alabama,Franklin,County,46,0.008512317,447.5226596,0.486890161,25597.54027,162752.9984,0.491070523,82830.2016
Alabama,Geneva,County,46,0.00604302,348.0515448,0.391622997,22555.77457,147493.0048,0.394003076,89380
Alabama,Greene,County,46,0.00325178,536.8097052,0.610461147,100776.0144,164117.0048,0.612453273,63603.3024
Alabama,Hale,County,46,0.003165331,299.8393948,0.57691415,54648.81978,162272,0.578744311,68357.4976
Alabama,Henry,County,46,0.006626872,589.5726548,0.484167649,43074.92336,144144,0.487395937,73888.3008
Alabama,Houston,County,46,0.02235818,377.2894681,0.34895911,5888.609819,146476.0064,0.356940371,94193.7984
Alabama,Jackson,County,48,0.007752837,401.0848199,0.55392767,28656.86341,276817.9968,0.558254895,122281.9968
Alabama,Jefferson,County,48,0.065198805,283.1687297,0.519021026,2254.190461,268789.9904,0.55522158,119552.9984
Alabama,Lamar,County,46,0.004165733,409.2668511,0.679824904,66790.1167,155600,0.682667105,49377.2
Alabama,Lauderdale,County,48,0.015206875,299.7783234,0.332507782,6554.839461,170773.0048,0.337642948,113112.9984
Alabama,Lawrence,County,48,0.00656139,337.8932851,0.392533496,20214.37876,178049.9968,0.395125547,107697.9968
Alabama,Lee,County,54,0.023405832,318.5999027,0.544284548,7408.794634,152995.9936,0.557330275,67729.6
Alabama,Limestone,County,48,0.012655155,282.7730069,0.250414862,5595.392655,144893.0048,0.253623706,108144
Alabama,Lowndes,County,46,0.003888029,534.5899206,0.526628805,72409.56105,184528.9984,0.52868331,86971.2
Alabama,Macon,County,46,0.006128498,400.002904,0.593346404,38727.31732,156367.0016,0.597007025,63015.3984
Alabama,Madison,County,48,0.047777918,359.1271991,0.295450883,2220.784272,198047.0016,0.31027534,136598.0032
Alabama,Marengo,County,46,0.00410534,457.9173876,0.629169852,70178.80119,250371.9936,0.631763951,92196.8
Alabama,Marion,County,46,0.010694056,656.4233998,0.57065826,35028.19197,189549.0048,0.576827077,80212.3008
Alabama,Marshall,County,48,0.022655037,405.095402,0.389948132,6972.674344,143705.9968,0.39898821,86369.4016
Alabama,Mobile,County,46,0.030880126,246.1463725,0.608121308,4847.352506,308874.0096,0.627498562,115075.9936
Alabama,Monroe,County,46,0.00338507,369.3154909,0.672855419,73409.38925,264480,0.675139891,85919.0976
Alabama,Montgomery,County,46,0.037656455,341.3892175,0.453274156,4109.33288,195000.9984,0.47101143,103153.9968
Alabama,Morgan,County,48,0.025257049,343.0031333,0.338090404,4591.43384,147021.0048,0.346850444,96026.5024
Alabama,Perry,County,46,0.002822315,439.6155467,0.613769001,95603.23345,184230.0032,0.615507752,70835.5008
Alabama,Pickens,County,46,0.004097867,443.596353,0.6554585,70953.74405,225844.992,0.658154945,77203.3024
Alabama,Pike,County,46,0.00677105,394.8454653,0.606326858,35357.20372,171469.0048,0.610460192,66794.2976
Alabama,Randolph,County,54,0.008018666,525.6032172,0.56238092,36862.6445,145519.0016,0.566926638,63021.2992
Alabama,Russell,County,46,0.01309988,436.0961492,0.577962238,19240.41354,163468.0064,0.585635096,67736.3968
Alabama,Shelby,County,48,0.021423263,306.3527179,0.557730454,7975.547054,200519.0016,0.56994103,86236.6976
Alabama,St.,Clair,48,0.008489292,215.3022767,0.544692052,13814.27871,162801.9968,0.549356918,73366.0032
