FIPS,State,County,# Unemployed,Labor Force,% Unemployed,#Social  Associations,Association Rate,Life Expectancy,% Frequent Physical Distress,% Frequent Mental Distress,% Excessive Drinking,# Food Insecure,% Food Insecure,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Household Income,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,Population,% < 18,% 65 and over,# Some College,Population,% Some College,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,Annual Average Violent Crimes,Violent Crime Rate
01001,Alabama,Autauga,1001,25909,3.9,70,12.6,76.3,13,13,17,7360,13,16,10,58343,15430,73,2569,13,55504,23.9,15.1,8701,14298,61,19,105294,22709,4.6,149,272
01003,Alabama,Baldwin,3652,91567,4.0,223,10.7,78.6,13,13,17,24500,12,102,16,56607,55470,73,9313,13,212628,21.8,19.9,31821,48116,66,15,105906,23438,4.5,408,204
01005,Alabama,Barbour,486,8236,5.9,22,8.5,75.8,16,15,13,6160,23,,,32490,5745,63,1158,14,25270,20.8,18.8,2558,6956,37,50,74459,12938,5.8,106,414
01007,Alabama,Bibb,373,8506,4.4,23,10.2,73.9,13,13,16,3580,16,15,22,45795,5212,75,576,9,22668,20.6,16.0,3007,6212,48,27,88436,20786,4.3,20,89
01009,Alabama,Blount,985,24494,4.0,52,9.0,74.6,14,14,15,6340,11,43,25,48253,16246,79,1569,8,58013,23.3,17.8,7526,13831,54,19,86549,20972,4.1,279,483
01011,Alabama,Bullock,237,4812,4.9,10,9.7,73.1,17,15,13,2740,26,,,29113,2570,70,673,19,10309,20.7,15.8,936,2784,34,48,66477,10073,6.6,33,311
01013,Alabama,Butler,491,8946,5.5,23,11.5,73.5,16,15,13,4410,22,,,36842,4940,70,733,11,19825,22.7,19.6,1873,4872,38,33,75474,14733,5.1,117,582
01015,Alabama,Calhoun,2249,45582,4.9,164,14.3,73.1,13,14,15,19370,17,66,19,45937,31295,69,4954,12,114728,21.8,17.3,16636,28921,58,24,86828,17422,5.0,871,756
01017,Alabama,Chambers,619,15176,4.1,60,17.7,74.1,15,15,14,6620,20,,,36883,9103,66,1636,13,33713,21.1,19.1,3692,7832,47,30,77368,16325,4.7,181,529
01019,Alabama,Cherokee,453,11174,4.1,26,10.1,74.3,13,14,15,3240,13,11,14,44842,8435,78,1059,10,25857,19.7,22.6,2755,5503,50,25,80875,16898,4.8,86,330
01021,Alabama,Chilton,774,19118,4.0,72,16.4,74.2,14,14,15,5960,14,16,12,46405,12625,75,1993,12,44067,23.9,16.4,4432,11423,39,23,85794,17264,5.0,223,508
01023,Alabama,Choctaw,277,4336,6.4,27,20.8,74.3,15,14,13,2720,21,,,36711,4379,80,468,9,12945,20.1,22.7,1536,2780,55,35,74268,12869,5.8,17,128
01025,Alabama,Clarke,655,7720,8.5,45,18.4,75.9,16,15,13,5990,24,,,36719,6336,66,1053,13,24083,21.9,19.3,2148,5555,39,32,85203,10435,8.2,116,475
01027,Alabama,Clay,250,5721,4.4,16,11.9,75.4,14,14,15,1950,15,,,39642,4082,76,431,9,13367,20.6,20.2,1224,2998,41,26,77406,15780,4.9,42,309
01029,Alabama,Cleburne,256,5742,4.5,13,8.7,73.6,13,14,16,2080,14,,,45480,4296,74,652,12,14900,22.9,19.1,1753,3512,50,22,76500,15576,4.9,16,103
01031,Alabama,Coffee,907,20671,4.4,81,15.8,77.2,14,13,16,7500,15,11,7,51998,12822,65,1985,11,51874,23.7,16.6,7932,13112,60,25,100452,21000,4.8,142,276
01033,Alabama,Colbert,1203,23092,5.2,94,17.3,74.9,13,13,16,8330,15,12,7,46100,16009,73,2752,13,54500,21.0,19.6,7273,12976,56,22,85407,17308,4.9,218,400
