FIPS,State,County,# Some College,Population,% Some College,Income Ratio,Violent Crime Rate
1001,Alabama,Autauga,8701,14298,61,4.6,272
1003,Alabama,Baldwin,31821,48116,66,4.5,204
1005,Alabama,Barbour,2558,6956,37,5.8,414
1007,Alabama,Bibb,3007,6212,48,4.3,89
1009,Alabama,Blount,7526,13831,54,4.1,483
1011,Alabama,Bullock,936,2784,34,6.6,311
1013,Alabama,Butler,1873,4872,38,5.1,582
1015,Alabama,Calhoun,16636,28921,58,5,756
1017,Alabama,Chambers,3692,7832,47,4.7,529
1019,Alabama,Cherokee,2755,5503,50,4.8,330
1021,Alabama,Chilton,4432,11423,39,5,508
1023,Alabama,Choctaw,1536,2780,55,5.8,128
1025,Alabama,Clarke,2148,5555,39,8.2,475
1027,Alabama,Clay,1224,2998,41,4.9,309
1029,Alabama,Cleburne,1753,3512,50,4.9,103
1031,Alabama,Coffee,7932,13112,60,4.8,276
1033,Alabama,Colbert,7273,12976,56,4.9,400
1035,Alabama,Conecuh,883,2551,35,4.9,387
1037,Alabama,Coosa,1102,2451,45,4.3,255
1039,Alabama,Covington,4490,8404,53,4.6,331
1041,Alabama,Crenshaw,1429,3228,44,5.8,332
1043,Alabama,Cullman,10235,20173,51,4.6,129
1045,Alabama,Dale,7636,13058,58,5.2,437
1047,Alabama,Dallas,4548,9244,49,6.5,925
1049,Alabama,DeKalb,7815,17671,44,4.7,312
1051,Alabama,Elmore,11566,22180,52,4.4,239
1053,Alabama,Escambia,3693,9643,38,5.6,446
1055,Alabama,Etowah,13360,25179,53,4.7,604
1057,Alabama,Fayette,2068,3773,55,5,
1059,Alabama,Franklin,3306,7832,42,4.3,264
1061,Alabama,Geneva,2778,6215,45,4.9,414
1063,Alabama,Greene,832,1755,47,5.6,669
1065,Alabama,Hale,1411,3256,43,6,209
1067,Alabama,Henry,2205,3800,58,5.1,197
1069,Alabama,Houston,15642,26602,59,5,488
1071,Alabama,Jackson,5441,12318,44,5.1,317
1073,Alabama,Jefferson,120084,178343,67,5.4,873
1075,Alabama,Lamar,1665,3069,54,4.7,162
1077,Alabama,Lauderdale,12311,21115,58,4.5,269
1079,Alabama,Lawrence,4030,7996,50,5,260
1081,Alabama,Lee,29512,41375,71,6.2,416
1083,Alabama,Limestone,14021,24440,57,5.1,160
1085,Alabama,Lowndes,906,2345,39,5.8,671
1087,Alabama,Macon,2010,3883,52,6.4,734
1089,Alabama,Madison,67071,91600,73,5.1,611
1091,Alabama,Marengo,2251,4545,50,6.9,449
1093,Alabama,Marion,3818,6895,55,4.8,296
1095,Alabama,Marshall,11865,23434,51,4.8,286
1097,Alabama,Mobile,64161,106121,60,5.3,548
1099,Alabama,Monroe,1861,4654,40,8,492
1101,Alabama,Montgomery,38278,61540,62,5.5,532
1103,Alabama,Morgan,16406,29863,55,4.7,181
1105,Alabama,Perry,1015,1775,57,5.4,381
1107,Alabama,Pickens,2501,4841,52,5.8,166
1109,Alabama,Pike,4639,7801,59,6.6,564
1111,Alabama,Randolph,2547,5040,51,4.8,196
1113,Alabama,Russell,9991,16459,61,4.9,505
1115,Alabama,St. Clair,12159,22745,53,4.2,299
1117,Alabama,Shelby,42350,56346,75,4.1,264
1119,Alabama,Sumter,1474,2742,54,7.2,435
1121,Alabama,Talladega,10135,20204,50,4.8,469
1123,Alabama,Tallapoosa,4353,8752,50,5.4,639
1125,Alabama,Tuscaloosa,35103,54040,65,4.9,402
1127,Alabama,Walker,7768,15311,51,5.1,450
1129,Alabama,Washington,1929,3650,53,4.7,243
1131,Alabama,Wilcox,834,2430,34,6,645
1133,Alabama,Winston,2879,5354,54,4.4,107
2013,Alaska,Aleutians East,403,960,42,4.3,
2016,Alaska,Aleutians West,1023,1928,53,3.2,295
2020,Alaska,Anchorage,64145,89893,71,3.7,1007
