FIPS,State,County,Some College,Population,% Some College
1001,Alabama,Autauga,8701,14298,61
1003,Alabama,Baldwin,31821,48116,66
1005,Alabama,Barbour,2558,6956,37
1007,Alabama,Bibb,3007,6212,48
1009,Alabama,Blount,7526,13831,54
1011,Alabama,Bullock,936,2784,34
1013,Alabama,Butler,1873,4872,38
1015,Alabama,Calhoun,16636,28921,58
1017,Alabama,Chambers,3692,7832,47
1019,Alabama,Cherokee,2755,5503,50
1021,Alabama,Chilton,4432,11423,39
1023,Alabama,Choctaw,1536,2780,55
1025,Alabama,Clarke,2148,5555,39
1027,Alabama,Clay,1224,2998,41
1029,Alabama,Cleburne,1753,3512,50
1031,Alabama,Coffee,7932,13112,60
1033,Alabama,Colbert,7273,12976,56
1035,Alabama,Conecuh,883,2551,35
1037,Alabama,Coosa,1102,2451,45
1039,Alabama,Covington,4490,8404,53
1041,Alabama,Crenshaw,1429,3228,44
1043,Alabama,Cullman,10235,20173,51
1045,Alabama,Dale,7636,13058,58
1047,Alabama,Dallas,4548,9244,49
1049,Alabama,DeKalb,7815,17671,44
1051,Alabama,Elmore,11566,22180,52
1053,Alabama,Escambia,3693,9643,38
1055,Alabama,Etowah,13360,25179,53
1057,Alabama,Fayette,2068,3773,55
1059,Alabama,Franklin,3306,7832,42
1061,Alabama,Geneva,2778,6215,45
1063,Alabama,Greene,832,1755,47
1065,Alabama,Hale,1411,3256,43
1067,Alabama,Henry,2205,3800,58
1069,Alabama,Houston,15642,26602,59
1071,Alabama,Jackson,5441,12318,44
1073,Alabama,Jefferson,120084,178343,67
1075,Alabama,Lamar,1665,3069,54
1077,Alabama,Lauderdale,12311,21115,58
1079,Alabama,Lawrence,4030,7996,50
1081,Alabama,Lee,29512,41375,71
1083,Alabama,Limestone,14021,24440,57
1085,Alabama,Lowndes,906,2345,39
1087,Alabama,Macon,2010,3883,52
1089,Alabama,Madison,67071,91600,73
1091,Alabama,Marengo,2251,4545,50
1093,Alabama,Marion,3818,6895,55
1095,Alabama,Marshall,11865,23434,51
1097,Alabama,Mobile,64161,106121,60
1099,Alabama,Monroe,1861,4654,40
1101,Alabama,Montgomery,38278,61540,62
1103,Alabama,Morgan,16406,29863,55
1105,Alabama,Perry,1015,1775,57
1107,Alabama,Pickens,2501,4841,52
1109,Alabama,Pike,4639,7801,59
1111,Alabama,Randolph,2547,5040,51
1113,Alabama,Russell,9991,16459,61
1115,Alabama,St. Clair,12159,22745,53
1117,Alabama,Shelby,42350,56346,75
1119,Alabama,Sumter,1474,2742,54
1121,Alabama,Talladega,10135,20204,50
1123,Alabama,Tallapoosa,4353,8752,50
1125,Alabama,Tuscaloosa,35103,54040,65
1127,Alabama,Walker,7768,15311,51
1129,Alabama,Washington,1929,3650,53
1131,Alabama,Wilcox,834,2430,34
1133,Alabama,Winston,2879,5354,54
2013,Alaska,Aleutians East,403,960,42
2016,Alaska,Aleutians West,1023,1928,53
2020,Alaska,Anchorage,64145,89893,71
2050,Alaska,Bethel,1567,4638,34
2060,Alaska,Bristol Bay,140,224,63
2068,Alaska,Denali,442,598,74
2070,Alaska,Dillingham,591,1264,47
2090,Alaska,Fairbanks North Star,22156,30420,73
2100,Alaska,Haines,424,598,71
2105,Alaska,Hoonah-Angoon,195,428,46
2110,Alaska,Juneau,7012,9150,77
