FIPS,State,County,% < 18,% 65 and over
1001,Alabama,Autauga,23.9,15.1
1003,Alabama,Baldwin,21.8,19.9
1005,Alabama,Barbour,20.8,18.8
1007,Alabama,Bibb,20.6,16
1009,Alabama,Blount,23.3,17.8
1011,Alabama,Bullock,20.7,15.8
1013,Alabama,Butler,22.7,19.6
1015,Alabama,Calhoun,21.8,17.3
1017,Alabama,Chambers,21.1,19.1
1019,Alabama,Cherokee,19.7,22.6
1021,Alabama,Chilton,23.9,16.4
1023,Alabama,Choctaw,20.1,22.7
1025,Alabama,Clarke,21.9,19.3
1027,Alabama,Clay,20.6,20.2
1029,Alabama,Cleburne,22.9,19.1
1031,Alabama,Coffee,23.7,16.6
1033,Alabama,Colbert,21,19.6
1035,Alabama,Conecuh,21,21.9
1037,Alabama,Coosa,16.4,22.8
1039,Alabama,Covington,21.8,20.7
1041,Alabama,Crenshaw,23.1,18.7
1043,Alabama,Cullman,22.5,18.3
1045,Alabama,Dale,23.1,16.3
1047,Alabama,Dallas,24.3,17.3
1049,Alabama,DeKalb,24.5,16.8
1051,Alabama,Elmore,22.3,14.7
1053,Alabama,Escambia,22.2,17.3
1055,Alabama,Etowah,21.6,18.6
1057,Alabama,Fayette,21.1,21
1059,Alabama,Franklin,24.6,16.5
1061,Alabama,Geneva,22.1,20
1063,Alabama,Greene,21.9,21.3
1065,Alabama,Hale,23.3,18.8
1067,Alabama,Henry,20.7,22.2
1069,Alabama,Houston,23.2,17.4
1071,Alabama,Jackson,21.1,19.5
1073,Alabama,Jefferson,22.9,15.4
1075,Alabama,Lamar,21.8,21.5
1077,Alabama,Lauderdale,19.9,19.6
1079,Alabama,Lawrence,21.6,18.2
1081,Alabama,Lee,21.3,11.5
1083,Alabama,Limestone,22.8,14.9
1085,Alabama,Lowndes,22.5,18.2
1087,Alabama,Macon,17.3,19.4
1089,Alabama,Madison,22,14.6
1091,Alabama,Marengo,22.8,19.3
1093,Alabama,Marion,20.9,21
1095,Alabama,Marshall,25,16.8
1097,Alabama,Mobile,23.6,15.8
1099,Alabama,Monroe,21.9,19.6
1101,Alabama,Montgomery,23.6,14.6
1103,Alabama,Morgan,22.8,17.1
1105,Alabama,Perry,21.7,19.1
1107,Alabama,Pickens,20,18.4
1109,Alabama,Pike,19.3,14.9
1111,Alabama,Randolph,21.6,20.3
1113,Alabama,Russell,24.5,14
1115,Alabama,St. Clair,22.9,16.3
1117,Alabama,Shelby,23.8,14.8
1119,Alabama,Sumter,19.5,17.4
1121,Alabama,Talladega,21.4,17.5
1123,Alabama,Tallapoosa,21.1,21
1125,Alabama,Tuscaloosa,21.1,12.8
1127,Alabama,Walker,22.2,19
1129,Alabama,Washington,22.2,18.5
1131,Alabama,Wilcox,24.1,19
1133,Alabama,Winston,20.6,21.4
2013,Alaska,Aleutians East,8.7,9
2016,Alaska,Aleutians West,11.7,6.5
2020,Alaska,Anchorage,24.5,10.5
2050,Alaska,Bethel,35.7,7.3
2060,Alaska,Bristol Bay,19.1,13.4
2068,Alaska,Denali,18.9,10
2070,Alaska,Dillingham,31.3,9
2090,Alaska,Fairbanks North Star,24,9.7
2100,Alaska,Haines,17.4,21.4
2105,Alaska,Hoonah-Angoon,18.8,22.2
2110,Alaska,Juneau,21.6,12.6
2122,Alaska,Kenai Peninsula,22.7,16.4
2130,Alaska,Ketchikan Gateway,22.1,15
2150,Alaska,Kodiak Island,25.9,10.2
2158,Alaska,Kusilvak,41.1,5.9
2164,Alaska,Lake and Peninsula,28,10.5
2170,Alaska,Matanuska-Susitna,27.1,11.1
2180,Alaska,Nome,34.8,7.6
2185,Alaska,North Slope,26.2,6.6
2188,Alaska,Northwest Arctic,35.7,7.2
2195,Alaska,Petersburg,21.5,18.4
2198,Alaska,Prince of Wales-Hyder,23.2,15.8
2220,Alaska,Sitka,21.8,15
2230,Alaska,Skagway,14.4,14.8
2240,Alaska,Southeast Fairbanks,25.4,14
2261,Alaska,Valdez-Cordova,23.5,12.9
2275,Alaska,Wrangell,19.6,22.4
2282,Alaska,Yakutat,19.2,18.3
2290,Alaska,Yukon-Koyukuk,27.7,14
4001,Arizona,Apache,27.6,14.9
4003,Arizona,Cochise,21.9,22
4005,Arizona,Coconino,20.9,12.1
4007,Arizona,Gila,20.3,28.2
4009,Arizona,Graham,27.3,13.8
4011,Arizona,Greenlee,27.6,12.9
4012,Arizona,La Paz,16.9,39.3
4013,Arizona,Maricopa,24.3,14.8
4015,Arizona,Mohave,17.5,29.7
4017,Arizona,Navajo,27,17.6
4019,Arizona,Pima,21.2,19.2
4021,Arizona,Pinal,23,19.8
4023,Arizona,Santa Cruz,27.3,17.4
4025,Arizona,Yavapai,16.6,30.8
4027,Arizona,Yuma,25.4,18.3
5001,Arkansas,Arkansas,22.8,19
5003,Arkansas,Ashley,22.9,19.8
5005,Arkansas,Baxter,17.7,30.8
5007,Arkansas,Benton,26.6,13.2
5009,Arkansas,Boone,22.6,20.4
5011,Arkansas,Bradley,24.1,18.9
5013,Arkansas,Calhoun,18.7,21.1
5015,Arkansas,Carroll,22,22.7
5017,Arkansas,Chicot,22.2,19.6
5019,Arkansas,Clark,19,16.1
5021,Arkansas,Clay,21.6,21.5
5023,Arkansas,Cleburne,19.1,26.5
5025,Arkansas,Cleveland,22,20.5
5027,Arkansas,Columbia,20.7,17.2
5029,Arkansas,Conway,22.6,19.5
5031,Arkansas,Craighead,25,13.6
5033,Arkansas,Crawford,24.7,16.2
5035,Arkansas,Crittenden,27.4,13.6
5037,Arkansas,Cross,23.7,18.4
5039,Arkansas,Dallas,21.1,22.1
5041,Arkansas,Desha,25.8,18.4
5043,Arkansas,Drew,21.7,17
5045,Arkansas,Faulkner,23.3,12.1
5047,Arkansas,Franklin,23.2,19
5049,Arkansas,Fulton,20.8,26
5051,Arkansas,Garland,20.2,23.7
5053,Arkansas,Grant,22.5,17.6
5055,Arkansas,Greene,24.5,15.8
5057,Arkansas,Hempstead,25.7,17.6
5059,Arkansas,Hot Spring,20.5,18.6
5061,Arkansas,Howard,26.2,17.4
5063,Arkansas,Independence,24.1,17.3
5065,Arkansas,Izard,18.3,25.3
5067,Arkansas,Jackson,20.3,17.6
5069,Arkansas,Jefferson,22.3,16.8
5071,Arkansas,Johnson,24.9,16.3
5073,Arkansas,Lafayette,18.8,23.1
5075,Arkansas,Lawrence,21.8,19.6
5077,Arkansas,Lee,18.6,19.2
5079,Arkansas,Lincoln,17.6,15
5081,Arkansas,Little River,21.9,20.7
5083,Arkansas,Logan,21.9,19.3
5085,Arkansas,Lonoke,26,13.1
5087,Arkansas,Madison,23.5,18.8
5089,Arkansas,Marion,18,28.2
5091,Arkansas,Miller,23.9,16.5
5093,Arkansas,Mississippi,26.3,14.5
5095,Arkansas,Monroe,21.2,23.1
5097,Arkansas,Montgomery,18.7,27.1
5099,Arkansas,Nevada,22.5,20.4
5101,Arkansas,Newton,19.6,25.8
5103,Arkansas,Ouachita,22.6,19.8
5105,Arkansas,Perry,22.2,19.7
5107,Arkansas,Phillips,25.9,18.3
5109,Arkansas,Pike,21.6,19.7
5111,Arkansas,Poinsett,24.1,17.6
5113,Arkansas,Polk,23,22.5
5115,Arkansas,Pope,22.6,15.4
5117,Arkansas,Prairie,20.6,22.9
5119,Arkansas,Pulaski,23.4,15
5121,Arkansas,Randolph,22.9,20.2
5123,Arkansas,St. Francis,21.6,15.6
5125,Arkansas,Saline,23.5,17.1
5127,Arkansas,Scott,23.2,20.4
5129,Arkansas,Searcy,20.3,24.8
5131,Arkansas,Sebastian,24.2,15.5
5133,Arkansas,Sevier,28.2,14.2
5135,Arkansas,Sharp,21.2,25.7
5137,Arkansas,Stone,19.5,26.9
5139,Arkansas,Union,24.3,17.4
5141,Arkansas,Van Buren,19.9,26.1
5143,Arkansas,Washington,24.6,11.5
5145,Arkansas,White,23.5,15.9
5147,Arkansas,Woodruff,21,22.9
5149,Arkansas,Yell,24.8,17.5
6001,California,Alameda,20.7,13.5
6003,California,Alpine,17.2,23.2
6005,California,Amador,15.2,26.6
6007,California,Butte,20,18.2
6009,California,Calaveras,17,26.9
6011,California,Colusa,27.5,14.3
6013,California,Contra Costa,22.8,15.3
6015,California,Del Norte,21.5,17.7
6017,California,El Dorado,20,20.4
6019,California,Fresno,28.5,12
6021,California,Glenn,26.4,15.6
6023,California,Humboldt,19.2,17.2
6025,California,Imperial,28.6,12.6
6027,California,Inyo,20.5,22.8
6029,California,Kern,29,10.7
6031,California,Kings,27.3,10
6033,California,Lake,20.7,22.4
6035,California,Lassen,17.2,14.2
6037,California,Los Angeles,21.9,13.2
6039,California,Madera,27.4,13.7
6041,California,Marin,20.1,21.6
6043,California,Mariposa,16.4,27
6045,California,Mendocino,21.6,21.2
6047,California,Merced,29.6,11.1
6049,California,Modoc,18.9,26.5
6051,California,Mono,18.6,15.1
6053,California,Monterey,26.2,13.2
6055,California,Napa,21,18.4
6057,California,Nevada,17.3,26.5
6059,California,Orange,22.1,14.3
6061,California,Placer,22.3,19.1
6063,California,Plumas,16.8,27.8
6065,California,Riverside,25.4,14.1
6067,California,Sacramento,23.8,13.7
6069,California,San Benito,25.7,12.6
6071,California,San Bernardino,26.5,11.3
6073,California,San Diego,21.8,13.6
6075,California,San Francisco,13.4,15.4
6077,California,San Joaquin,27.3,12.4
6079,California,San Luis Obispo,17.8,19.4
6081,California,San Mateo,20.8,15.8
6083,California,Santa Barbara,22.2,14.9
6085,California,Santa Clara,22.2,13.1
6087,California,Santa Cruz,19.5,15.6
6089,California,Shasta,21.5,20.3
6091,California,Sierra,15.7,30.2
6093,California,Siskiyou,20.2,24.7
