Population,Poverty Count,Poverty %,state,fips_x,fips_y,fipsx1000,FIPS,county
27690,4789,17.29505237, Arkansas,5,015,5000,5015,Carroll
11189,3252,29.06425954, Arkansas,5,017,5000,5017,Chicot
22684,4762,20.99277023, Arkansas,5,019,5000,5019,Clark
15202,3340,21.97079332, Arkansas,5,021,5000,5021,Clay
25587,3901,15.24602337, Arkansas,5,023,5000,5023,Cleburne
8421,1671,19.84324902, Arkansas,5,025,5000,5025,Cleveland
24168,5581,23.09251903, Arkansas,5,027,5000,5027,Columbia
21060,4482,21.28205128, Arkansas,5,029,5000,5029,Conway
102884,18682,18.15831422, Arkansas,5,031,5000,5031,Craighead
61927,11491,18.55571883, Arkansas,5,033,5000,5033,Crawford
49511,11991,24.21886046, Arkansas,5,035,5000,5035,Crittenden
17329,3364,19.41254544, Arkansas,5,037,5000,5037,Cross
7738,1054,13.62109072, Arkansas,5,039,5000,5039,Dallas
12234,3859,31.54324015, Arkansas,5,041,5000,5041,Desha
18688,4851,25.9578339, Arkansas,5,043,5000,5043,Drew
120417,18590,15.43801955, Arkansas,5,045,5000,5045,Faulkner
17799,3684,20.69779201, Arkansas,5,047,5000,5047,Franklin
12186,2769,22.72279665, Arkansas,5,049,5000,5049,Fulton
97119,19639,20.22158383, Arkansas,5,051,5000,5051,Garland
18046,2318,12.84495179, Arkansas,5,053,5000,5053,Grant
43745,7621,17.42141959, Arkansas,5,055,5000,5055,Greene
22208,5861,26.39139049, Arkansas,5,057,5000,5057,Hempstead
33440,5347,15.98983254, Arkansas,5,059,5000,5059,Hot
13487,2605,19.31489583, Arkansas,5,061,5000,5061,Howard
37030,6891,18.60923575, Arkansas,5,063,5000,5063,Independence
13461,2775,20.61511032, Arkansas,5,065,5000,5065,Izard
17495,3866,22.09774221, Arkansas,5,067,5000,5067,Jackson
72385,16959,23.4288872, Arkansas,5,069,5000,5069,Jefferson
26025,5418,20.8184438, Arkansas,5,071,5000,5071,Johnson
7127,1830,25.67700295, Arkansas,5,073,5000,5073,Lafayette
16915,3840,22.70174401, Arkansas,5,075,5000,5075,Lawrence
9781,2447,25.01789183, Arkansas,5,077,5000,5077,Lee
13935,2158,15.48618586, Arkansas,5,079,5000,5079,Lincoln
12616,2384,18.89663919, Arkansas,5,081,5000,5081,Little
21935,4071,18.55937999, Arkansas,5,083,5000,5083,Logan
71279,8535,11.97407371, Arkansas,5,085,5000,5085,Lonoke
15761,2823,17.91130004, Arkansas,5,087,5000,5087,Madison
16404,3220,19.62935869, Arkansas,5,089,5000,5089,Marion
43666,8749,20.03618376, Arkansas,5,091,5000,5091,Miller
44199,11057,25.01640309, Arkansas,5,093,5000,5093,Mississippi
7542,2139,28.36117741, Arkansas,5,095,5000,5095,Monroe
9100,1677,18.42857143, Arkansas,5,097,5000,5097,Montgomery
8668,2615,30.16843563, Arkansas,5,099,5000,5099,Nevada
7988,1713,21.444667, Arkansas,5,101,5000,5101,Newton
24728,5970,24.14267227, Arkansas,5,103,5000,5103,Ouachita
10246,1804,17.60687097, Arkansas,5,105,5000,5105,Perry
19929,6588,33.05735361, Arkansas,5,107,5000,5107,Phillips
11017,1997,18.12653172, Arkansas,5,109,5000,5109,Pike
24131,5238,21.70651859, Arkansas,5,111,5000,5111,Poinsett
20290,5069,24.98275012, Arkansas,5,113,5000,5113,Polk
63107,11620,18.41317128, Arkansas,5,115,5000,5115,Pope
8334,1617,19.4024478, Arkansas,5,117,5000,5117,Prairie
391806,69467,17.72994798, Arkansas,5,119,5000,5119,Pulaski
17584,3357,19.09121929, Arkansas,5,121,5000,5121,Randolph
27023,5761,21.31887651, Arkansas,5,123,5000,5123,St.
115577,9706,8.397864627, Arkansas,5,125,5000,5125,Saline
10661,2204,20.67348279, Arkansas,5,127,5000,5127,Scott
7938,1619,20.39556563, Arkansas,5,129,5000,5129,Searcy
127351,27745,21.78624432, Arkansas,5,131,5000,5131,Sebastian
17193,3804,22.12528355, Arkansas,5,133,5000,5133,Sevier
17027,3711,21.7947965, Arkansas,5,135,5000,5135,Sharp
12503,2925,23.39438535, Arkansas,5,137,5000,5137,Stone
55049,6697,12.16552526, Alabama,1,001,1000,1001,Autauga
199510,25551,12.80687685, Alabama,1,003,1000,1003,Baldwin
26614,6235,23.42751935, Alabama,1,005,1000,1005,Barbour
22572,3390,15.01860712, Alabama,1,007,1000,1007,Bibb
57704,9441,16.36108415, Alabama,1,009,1000,1009,Blount
10552,2728,25.85291888, Alabama,1,011,1000,1011,Bullock
20280,5126,25.27613412, Alabama,1,013,1000,1013,Butler
115883,22135,19.10116238, Alabama,1,015,1000,1015,Calhoun
34018,6805,20.00411547, Alabama,1,017,1000,1017,Chambers
25897,4188,16.17175735, Alabama,1,019,1000,1019,Cherokee
43817,8779,20.03560262, Alabama,1,021,1000,1021,Chilton
13287,2743,20.64423873, Alabama,1,023,1000,1023,Choctaw
24847,6023,24.24035095, Alabama,1,025,1000,1025,Clarke
