Notes,State,County,County Code,Injury Intent,Injury Intent Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
, AL,Autauga County,1001,Unintentional,1,493,975679,50.5,46.1,55,2.3,0.00%
, AL,Autauga County,1001,Suicide,2,164,975679,16.8,14.2,19.4,1.3,0.00%
, AL,Autauga County,1001,Homicide,3,48,975679,4.9,3.6,6.5,0.7,0.00%
, AL,Autauga County,1001,"Non-Injury, no intent classified",9,7712,975679,790.4,772.8,808.1,9,0.00%
, AL,Baldwin County,1003,Unintentional,1,1676,3316841,50.5,48.1,52.9,1.2,0.00%
, AL,Baldwin County,1003,Suicide,2,584,3316841,17.6,16.2,19,0.7,0.00%
, AL,Baldwin County,1003,Homicide,3,127,3316841,3.8,3.2,4.5,0.3,0.00%
, AL,Baldwin County,1003,Undetermined ,4,43,3316841,1.3,0.9,1.7,0.2,0.00%
, AL,Baldwin County,1003,"Non-Injury, no intent classified",9,30051,3316841,906,895.8,916.3,5.2,0.10%
, AL,Barbour County,1005,Unintentional,1,266,524875,50.7,44.6,56.8,3.1,0.00%
, AL,Barbour County,1005,Suicide,2,53,524875,10.1,7.6,13.2,1.4,0.00%
, AL,Barbour County,1005,Homicide,3,40,524875,7.6,5.4,10.4,1.2,0.00%
, AL,Barbour County,1005,"Non-Injury, no intent classified",9,5155,524875,982.1,955.3,1008.9,13.7,0.00%
, AL,Bibb County,1007,Unintentional,1,285,420148,67.8,60,75.7,4,0.00%
, AL,Bibb County,1007,Suicide,2,68,420148,16.2,12.6,20.5,2,0.00%
, AL,Bibb County,1007,Homicide,3,35,420148,8.3,5.8,11.6,1.4,0.00%
, AL,Bibb County,1007,"Non-Injury, no intent classified",9,3967,420148,944.2,914.8,973.6,15,0.00%
, AL,Blount County,1009,Unintentional,1,684,1055789,64.8,59.9,69.6,2.5,0.00%
, AL,Blount County,1009,Suicide,2,172,1055789,16.3,13.9,18.7,1.2,0.00%
, AL,Blount County,1009,Homicide,3,60,1055789,5.7,4.3,7.3,0.7,0.00%
, AL,Blount County,1009,Undetermined ,4,21,1055789,2,1.2,3,0.4,0.00%
, AL,Blount County,1009,"Non-Injury, no intent classified",9,9687,1055789,917.5,899.2,935.8,9.3,0.00%
, AL,Bullock County,1011,Unintentional,1,163,207893,78.4,66.4,90.4,6.1,0.00%
, AL,Bullock County,1011,Suicide,2,13,207893,Unreliable,3.3,10.7,1.7,0.00%
, AL,Bullock County,1011,Homicide,3,23,207893,11.1,7,16.6,2.3,0.00%
, AL,Bullock County,1011,"Non-Injury, no intent classified",9,2225,207893,1070.3,1025.8,1114.7,22.7,0.00%
, AL,Butler County,1013,Unintentional,1,239,393446,60.7,53,68.4,3.9,0.00%
, AL,Butler County,1013,Suicide,2,50,393446,12.7,9.4,16.8,1.8,0.00%
, AL,Butler County,1013,Homicide,3,54,393446,13.7,10.3,17.9,1.9,0.00%
, AL,Butler County,1013,"Non-Injury, no intent classified",9,4878,393446,1239.8,1205,1274.6,17.8,0.00%
, AL,Calhoun County,1015,Unintentional,1,1154,2189206,52.7,49.7,55.8,1.6,0.00%
, AL,Calhoun County,1015,Suicide,2,354,2189206,16.2,14.5,17.9,0.9,0.00%
, AL,Calhoun County,1015,Homicide,3,234,2189206,10.7,9.3,12.1,0.7,0.00%
, AL,Calhoun County,1015,Undetermined ,4,20,2189206,0.9,0.6,1.4,0.2,0.00%
, AL,Calhoun County,1015,"Non-Injury, no intent classified",9,24030,2189206,1097.7,1083.8,1111.5,7.1,0.10%
, AL,Chambers County,1017,Unintentional,1,370,662645,55.8,50.1,61.5,2.9,0.00%
, AL,Chambers County,1017,Suicide,2,95,662645,14.3,11.6,17.5,1.5,0.00%
