State Name,Number of Trees,,
Alaska,6557383662,,
Arizona,3975599614,,
Arkansas,11971092110,,
California,10782172160,,
Colorado,11411347541,,
Connecticut,781614326,,
Delaware,246801836,,
Florida,17156399,,
Georgia,14647047856,,
Idaho,7329201834,,
Illinois,2062483088,,
Indiana,2162796126,,
Iowa,1009320000,,
Kansas,820880934,,
Kentucky,7421297283,,
Louisiana,9292293252,,
Maine,23921470435,,
Maryland,1421623331,,
Massachusetts,1555106237,,
Michigan,14071894363,,
Minnesota,15002829890,,
Mississippi,13544877979,,
Missouri,8021010433,,
Montana,11716284762,,
Nebraska,377508901,,
Nevada,2518981001,,
New Hampshire,4274520003,,
New Jersey,878381955,,
New Mexico,6486552123,,
New York,11867350316,,
North Carolina,14796710357,,
North Dakota,350424584,,
Ohio,3933945168,,
Oklahoma,5532205195,,
Oregon,10392938349,,
Pennsylvania,8076133579,,
Puerto Rico,1442177444,,
Rhode Island,162503319,,
South Carolina,9587494294,,
South Dakota,601395485,,
Tennessee,8243760533,,
Texas,7254574419,,
Utah,7024876305,,
Vermont,3372436292,,
Virginia,11496351102,,
Washington,9379199123,,
West Virginia,6131175026,,
Wyoming,4590055499,,
