State,County,% Some College,% National 
Alabama,Autauga,61,1.051724138
Alabama,Baldwin,66,
Alabama,Barbour,37,
Alabama,Bibb,48,
Alabama,Blount,54,
Alabama,Bullock,34,
Alabama,Butler,38,
Alabama,Calhoun,58,
Alabama,Chambers,47,
Alabama,Cherokee,50,
Alabama,Chilton,39,
Alabama,Choctaw,55,
Alabama,Clarke,39,
Alabama,Clay,41,
Alabama,Cleburne,50,
Alabama,Coffee,60,
Alabama,Colbert,56,
Alabama,Conecuh,35,
Alabama,Coosa,45,
Alabama,Covington,53,
Alabama,Crenshaw,44,
Alabama,Cullman,51,
Alabama,Dale,58,
Alabama,Dallas,49,
Alabama,DeKalb,44,
Alabama,Elmore,52,
Alabama,Escambia,38,
Alabama,Etowah,53,
Alabama,Fayette,55,
Alabama,Franklin,42,
Alabama,Geneva,45,
Alabama,Greene,47,
Alabama,Hale,43,
Alabama,Henry,58,
Alabama,Houston,59,
Alabama,Jackson,44,
Alabama,Jefferson,67,
Alabama,Lamar,54,
Alabama,Lauderdale,58,
Alabama,Lawrence,50,
Alabama,Lee,71,
Alabama,Limestone,57,
Alabama,Lowndes,39,
Alabama,Macon,52,
Alabama,Madison,73,
Alabama,Marengo,50,
Alabama,Marion,55,
Alabama,Marshall,51,
Alabama,Mobile,60,
Alabama,Monroe,40,
Alabama,Montgomery,62,
Alabama,Morgan,55,
Alabama,Perry,57,
Alabama,Pickens,52,
Alabama,Pike,59,
Alabama,Randolph,51,
Alabama,Russell,61,
Alabama,St. Clair,53,
Alabama,Shelby,75,
Alabama,Sumter,54,
Alabama,Talladega,50,
Alabama,Tallapoosa,50,
Alabama,Tuscaloosa,65,
Alabama,Walker,51,
Alabama,Washington,53,
Alabama,Wilcox,34,
Alabama,Winston,54,
Alaska,Aleutians East,42,
Alaska,Aleutians West,53,
Alaska,Anchorage,71,
Alaska,Bethel,34,
Alaska,Bristol Bay,63,
Alaska,Denali,74,
Alaska,Dillingham,47,
Alaska,Fairbanks North Star,73,
Alaska,Haines,71,
Alaska,Hoonah-Angoon,46,
Alaska,Juneau,77,
Alaska,Kenai Peninsula,61,
Alaska,Ketchikan Gateway,59,
Alaska,Kodiak Island,66,
Alaska,Kusilvak,24,
Alaska,Lake and Peninsula,48,
Alaska,Matanuska-Susitna,59,
Alaska,Nome,39,
Alaska,North Slope,50,
Alaska,Northwest Arctic,31,
Alaska,Petersburg,59,
Alaska,Prince of Wales-Hyder,48,
Alaska,Sitka,66,
Alaska,Skagway,79,
Alaska,Southeast Fairbanks,54,
Alaska,Valdez-Cordova,60,
Alaska,Wrangell,68,
Alaska,Yakutat,57,
Alaska,Yukon-Koyukuk,46,
Arizona,Apache,50,
Arizona,Cochise,66,
Arizona,Coconino,69,
Arizona,Gila,53,
Arizona,Graham,53,
Arizona,Greenlee,55,
Arizona,La Paz,35,
Arizona,Maricopa,65,
Arizona,Mohave,46,
Arizona,Navajo,52,
Arizona,Pima,67,
Arizona,Pinal,54,
Arizona,Santa Cruz,56,
Arizona,Yavapai,61,
Arizona,Yuma,54,
Arkansas,Arkansas,51,
Arkansas,Ashley,50,
Arkansas,Baxter,61,
Arkansas,Benton,61,
Arkansas,Boone,60,
Arkansas,Bradley,46,
Arkansas,Calhoun,53,
Arkansas,Carroll,44,
Arkansas,Chicot,42,
Arkansas,Clark,60,
Arkansas,Clay,47,
Arkansas,Cleburne,47,
Arkansas,Cleveland,52,
Arkansas,Columbia,55,
Arkansas,Conway,48,
Arkansas,Craighead,63,
Arkansas,Crawford,54,
Arkansas,Crittenden,53,
Arkansas,Cross,42,
Arkansas,Dallas,51,
Arkansas,Desha,42,
Arkansas,Drew,58,
Arkansas,Faulkner,67,
Arkansas,Franklin,52,
Arkansas,Fulton,59,
Arkansas,Garland,62,
Arkansas,Grant,60,
Arkansas,Greene,56,
Arkansas,Hempstead,49,
Arkansas,Hot Spring,51,
Arkansas,Howard,57,
Arkansas,Independence,55,
Arkansas,Izard,49,
Arkansas,Jackson,41,
Arkansas,Jefferson,49,
Arkansas,Johnson,39,
Arkansas,Lafayette,46,
Arkansas,Lawrence,57,
Arkansas,Lee,34,
Arkansas,Lincoln,29,
Arkansas,Little River,48,
Arkansas,Logan,46,
Arkansas,Lonoke,61,
Arkansas,Madison,39,
Arkansas,Marion,51,
Arkansas,Miller,53,
Arkansas,Mississippi,48,
Arkansas,Monroe,40,
Arkansas,Montgomery,44,
Arkansas,Nevada,50,
Arkansas,Newton,46,
Arkansas,Ouachita,54,
Arkansas,Perry,56,
Arkansas,Phillips,48,
Arkansas,Pike,59,
Arkansas,Poinsett,45,
Arkansas,Polk,49,
Arkansas,Pope,54,
Arkansas,Prairie,57,
Arkansas,Pulaski,68,
Arkansas,Randolph,65,
Arkansas,St. Francis,43,
Arkansas,Saline,65,
Arkansas,Scott,44,
Arkansas,Searcy,43,
Arkansas,Sebastian,52,
Arkansas,Sevier,38,
Arkansas,Sharp,46,
Arkansas,Stone,47,
Arkansas,Union,53,
Arkansas,Van Buren,37,
Arkansas,Washington,61,
Arkansas,White,53,
Arkansas,Woodruff,39,
Arkansas,Yell,41,
California,Alameda,74,
California,Alpine,51,
California,Amador,63,
California,Butte,69,
California,Calaveras,56,
California,Colusa,48,
California,Contra Costa,71,
California,Del Norte,41,
California,El Dorado,70,
California,Fresno,54,
California,Glenn,44,
California,Humboldt,68,
California,Imperial,54,
California,Inyo,57,
California,Kern,46,
California,Kings,50,
California,Lake,48,
California,Lassen,36,
California,Los Angeles,62,
California,Madera,44,
California,Marin,76,
California,Mariposa,65,
California,Mendocino,56,
California,Merced,47,
California,Modoc,49,
California,Mono,61,
California,Monterey,46,
California,Napa,62,
California,Nevada,72,
California,Orange,69,
California,Placer,77,
California,Plumas,68,
California,Riverside,55,
California,Sacramento,66,
California,San Benito,57,
California,San Bernardino,55,
California,San Diego,71,
California,San Francisco,87,
California,San Joaquin,51,
California,San Luis Obispo,70,
California,San Mateo,77,
California,Santa Barbara,59,
California,Santa Clara,77,
California,Santa Cruz,68,
California,Shasta,68,
California,Sierra,55,
California,Siskiyou,61,
California,Solano,64,
California,Sonoma,65,
California,Stanislaus,52,
California,Sutter,55,
California,Tehama,50,
California,Trinity,62,
California,Tulare,44,
California,Tuolumne,59,
California,Ventura,63,
California,Yolo,70,
California,Yuba,58,
Colorado,Adams,57,
Colorado,Alamosa,59,
Colorado,Arapahoe,72,
Colorado,Archuleta,62,
Colorado,Baca,73,
Colorado,Bent,33,
Colorado,Boulder,82,
Colorado,Broomfield,86,
Colorado,Chaffee,61,
Colorado,Cheyenne,60,
Colorado,Clear Creek,76,
Colorado,Conejos,61,
Colorado,Costilla,53,
Colorado,Crowley,34,
Colorado,Custer,64,
Colorado,Delta,44,
Colorado,Denver,73,
Colorado,Dolores,58,
Colorado,Douglas,89,
Colorado,Eagle,70,
Colorado,Elbert,74,
Colorado,El Paso,75,
Colorado,Fremont,41,
Colorado,Garfield,53,
Colorado,Gilpin,81,
Colorado,Grand,62,
Colorado,Gunnison,77,
Colorado,Hinsdale,70,
Colorado,Huerfano,61,
Colorado,Jackson,53,
Colorado,Jefferson,77,
Colorado,Kiowa,64,
Colorado,Kit Carson,43,
Colorado,Lake,53,
Colorado,La Plata,76,
Colorado,Larimer,80,
Colorado,Las Animas,58,
Colorado,Lincoln,23,
Colorado,Logan,56,
Colorado,Mesa,62,
Colorado,Mineral,74,
Colorado,Moffat,51,
Colorado,Montezuma,60,
Colorado,Montrose,53,
Colorado,Morgan,50,
Colorado,Otero,64,
Colorado,Ouray,79,
Colorado,Park,70,
Colorado,Phillips,57,
Colorado,Pitkin,77,
Colorado,Prowers,60,
Colorado,Pueblo,62,
Colorado,Rio Blanco,69,
Colorado,Rio Grande,59,
Colorado,Routt,75,
Colorado,Saguache,50,
Colorado,San Juan,54,
Colorado,San Miguel,77,
Colorado,Sedgwick,73,
Colorado,Summit,72,
Colorado,Teller,71,
Colorado,Washington,73,
Colorado,Weld,63,
Colorado,Yuma,63,
Connecticut,Fairfield,70,
Connecticut,Hartford,69,
Connecticut,Litchfield,69,
Connecticut,Middlesex,75,
Connecticut,New Haven,66,
Connecticut,New London,66,
Connecticut,Tolland,75,
Connecticut,Windham,62,
Delaware,Kent,60,
Delaware,New Castle,66,
Delaware,Sussex,52,
District of Columbia,District of Columbia,81,
Florida,Alachua,76,
Florida,Baker,44,
Florida,Bay,60,
Florida,Bradford,39,
Florida,Brevard,67,
Florida,Broward,67,
Florida,Calhoun,43,
Florida,Charlotte,53,
Florida,Citrus,47,
Florida,Clay,65,
Florida,Collier,50,
Florida,Columbia,51,
Florida,DeSoto,23,
Florida,Dixie,35,
Florida,Duval,66,
Florida,Escambia,68,
Florida,Flagler,60,
Florida,Franklin,38,
Florida,Gadsden,42,
Florida,Gilchrist,51,
Florida,Glades,33,
Florida,Gulf,49,
Florida,Hamilton,34,
Florida,Hardee,23,
Florida,Hendry,32,
Florida,Hernando,55,
Florida,Highlands,42,
Florida,Hillsborough,66,
Florida,Holmes,35,
Florida,Indian River,56,
Florida,Jackson,44,
Florida,Jefferson,37,
Florida,Lafayette,36,
Florida,Lake,58,
Florida,Lee,53,
Florida,Leon,79,
Florida,Levy,42,
Florida,Liberty,33,
Florida,Madison,44,
Florida,Manatee,55,
Florida,Marion,50,
Florida,Martin,57,
Florida,Miami-Dade,61,
Florida,Monroe,62,
Florida,Nassau,60,
Florida,Okaloosa,68,
Florida,Okeechobee,34,
Florida,Orange,68,
Florida,Osceola,59,
Florida,Palm Beach,63,
Florida,Pasco,63,
Florida,Pinellas,66,
Florida,Polk,51,
Florida,Putnam,40,
Florida,St. Johns,78,
Florida,St. Lucie,54,
Florida,Santa Rosa,66,
Florida,Sarasota,59,
Florida,Seminole,77,
Florida,Sumter,41,
Florida,Suwannee,39,
Florida,Taylor,46,
Florida,Union,34,
Florida,Volusia,59,
Florida,Wakulla,50,
Florida,Walton,56,
Florida,Washington,45,
Georgia,Appling,39,
Georgia,Atkinson,36,
Georgia,Bacon,42,
Georgia,Baker,50,
Georgia,Baldwin,52,
Georgia,Banks,44,
Georgia,Barrow,56,
Georgia,Bartow,53,
Georgia,Ben Hill,50,
Georgia,Berrien,43,
Georgia,Bibb,59,
Georgia,Bleckley,49,
Georgia,Brantley,33,
Georgia,Brooks,50,
Georgia,Bryan,70,
Georgia,Bulloch,71,
Georgia,Burke,53,
Georgia,Butts,35,
Georgia,Calhoun,34,
Georgia,Camden,63,
Georgia,Candler,45,
Georgia,Carroll,54,
Georgia,Catoosa,64,
Georgia,Charlton,33,
Georgia,Chatham,69,
Georgia,Chattahoochee,74,
Georgia,Chattooga,36,
Georgia,Cherokee,71,
Georgia,Clarke,71,
Georgia,Clay,33,
Georgia,Clayton,53,
Georgia,Clinch,47,
Georgia,Cobb,74,
Georgia,Coffee,42,
Georgia,Colquitt,37,
Georgia,Columbia,75,
Georgia,Cook,51,
Georgia,Coweta,64,
Georgia,Crawford,66,
Georgia,Crisp,51,
Georgia,Dade,55,
Georgia,Dawson,61,
Georgia,Decatur,50,
Georgia,DeKalb,70,
Georgia,Dodge,47,
Georgia,Dooly,34,
Georgia,Dougherty,59,
Georgia,Douglas,64,
Georgia,Early,62,
Georgia,Echols,43,
Georgia,Effingham,57,
Georgia,Elbert,37,
Georgia,Emanuel,40,
Georgia,Evans,46,
Georgia,Fannin,45,
Georgia,Fayette,78,
Georgia,Floyd,53,
Georgia,Forsyth,79,
Georgia,Franklin,43,
Georgia,Fulton,76,
Georgia,Gilmer,43,
Georgia,Glascock,47,
Georgia,Glynn,59,
Georgia,Gordon,47,
Georgia,Grady,48,
Georgia,Greene,39,
Georgia,Gwinnett,64,
Georgia,Habersham,44,
Georgia,Hall,49,
Georgia,Hancock,21,
Georgia,Haralson,49,
Georgia,Harris,70,
Georgia,Hart,48,
Georgia,Heard,43,
Georgia,Henry,65,
Georgia,Houston,66,
Georgia,Irwin,45,
Georgia,Jackson,55,
Georgia,Jasper,40,
Georgia,Jeff Davis,42,
Georgia,Jefferson,36,
Georgia,Jenkins,48,
Georgia,Johnson,35,
Georgia,Jones,60,
Georgia,Lamar,55,
Georgia,Lanier,52,
Georgia,Laurens,46,
Georgia,Lee,67,
Georgia,Liberty,66,
Georgia,Lincoln,47,
Georgia,Long,65,
Georgia,Lowndes,61,
Georgia,Lumpkin,55,
Georgia,McDuffie,48,
Georgia,McIntosh,55,
Georgia,Macon,42,
Georgia,Madison,50,
Georgia,Marion,55,
Georgia,Meriwether,39,
Georgia,Miller,57,
Georgia,Mitchell,41,
Georgia,Monroe,55,
Georgia,Montgomery,52,
Georgia,Morgan,57,
Georgia,Murray,35,
Georgia,Muscogee,65,
Georgia,Newton,59,
Georgia,Oconee,79,
Georgia,Oglethorpe,49,
Georgia,Paulding,65,
Georgia,Peach,63,
Georgia,Pickens,53,
Georgia,Pierce,49,
Georgia,Pike,53,
Georgia,Polk,44,
Georgia,Pulaski,42,
Georgia,Putnam,48,
Georgia,Quitman,37,
Georgia,Rabun,40,
Georgia,Randolph,48,
Georgia,Richmond,57,
Georgia,Rockdale,56,
Georgia,Schley,58,
Georgia,Screven,52,
Georgia,Seminole,48,
Georgia,Spalding,47,
Georgia,Stephens,53,
Georgia,Stewart,28,
Georgia,Sumter,53,
Georgia,Talbot,49,
Georgia,Taliaferro,18,
Georgia,Tattnall,34,
Georgia,Taylor,46,
Georgia,Telfair,25,
Georgia,Terrell,47,
Georgia,Thomas,61,
Georgia,Tift,53,
Georgia,Toombs,44,
Georgia,Towns,62,
Georgia,Treutlen,47,
Georgia,Troup,52,
Georgia,Turner,37,
Georgia,Twiggs,52,
Georgia,Union,47,
Georgia,Upson,49,
Georgia,Walker,52,
Georgia,Walton,52,
Georgia,Ware,44,
Georgia,Warren,38,
Georgia,Washington,44,
Georgia,Wayne,48,
Georgia,Webster,41,
Georgia,Wheeler,31,
Georgia,White,50,
Georgia,Whitfield,42,
Georgia,Wilcox,29,
Georgia,Wilkes,38,
Georgia,Wilkinson,35,
Georgia,Worth,45,
Hawaii,Hawaii,58,
Hawaii,Honolulu,72,
Hawaii,Kalawao,81,
Hawaii,Kauai,60,
Hawaii,Maui,61,
Idaho,Ada,74,
Idaho,Adams,48,
Idaho,Bannock,67,
Idaho,Bear Lake,53,
Idaho,Benewah,42,
Idaho,Bingham,64,
Idaho,Blaine,53,
Idaho,Boise,63,
Idaho,Bonner,58,
