,State,County,Violent Crime
2,Alabama,Autauga,149
3,Alabama,Baldwin,408
4,Alabama,Barbour,106
5,Alabama,Bibb,20
6,Alabama,Blount,279
7,Alabama,Bullock,33
8,Alabama,Butler,117
9,Alabama,Calhoun,871
10,Alabama,Chambers,181
11,Alabama,Cherokee,86
12,Alabama,Chilton,223
13,Alabama,Choctaw,17
14,Alabama,Clarke,116
15,Alabama,Clay,42
16,Alabama,Cleburne,16
17,Alabama,Coffee,142
18,Alabama,Colbert,218
19,Alabama,Conecuh,48
20,Alabama,Coosa,27
21,Alabama,Covington,125
22,Alabama,Crenshaw,45
23,Alabama,Cullman,106
24,Alabama,Dale,214
25,Alabama,Dallas,380
26,Alabama,DeKalb,196
27,Alabama,Elmore,195
28,Alabama,Escambia,169
29,Alabama,Etowah,619
30,Alabama,Fayette,
31,Alabama,Franklin,83
32,Alabama,Geneva,111
33,Alabama,Greene,55
34,Alabama,Hale,29
35,Alabama,Henry,34
36,Alabama,Houston,508
37,Alabama,Jackson,163
38,Alabama,Jefferson,5623
39,Alabama,Lamar,23
40,Alabama,Lauderdale,248
41,Alabama,Lawrence,84
42,Alabama,Lee,652
43,Alabama,Limestone,147
44,Alabama,Lowndes,56
45,Alabama,Macon,138
46,Alabama,Madison,2155
47,Alabama,Marengo,88
48,Alabama,Marion,89
49,Alabama,Marshall,272
50,Alabama,Mobile,2273
51,Alabama,Monroe,105
52,Alabama,Montgomery,1200
53,Alabama,Morgan,216
54,Alabama,Perry,22
55,Alabama,Pickens,35
56,Alabama,Pike,188
57,Alabama,Randolph,45
58,Alabama,Russell,306
59,Alabama,St. Clair,261
60,Alabama,Shelby,419
61,Alabama,Sumter,57
62,Alabama,Talladega,378
63,Alabama,Tallapoosa,258
64,Alabama,Tuscaloosa,819
65,Alabama,Walker,292
66,Alabama,Washington,41
67,Alabama,Wilcox,72
68,Alabama,Winston,24
69,Alaska,Aleutians East,
70,Alaska,Aleutians West,13
71,Alaska,Anchorage,3022
72,Alaska,Bethel,
73,Alaska,Bristol Bay,0
74,Alaska,Denali,
75,Alaska,Dillingham,
76,Alaska,Fairbanks North Star,
77,Alaska,Haines,4
78,Alaska,Hoonah-Angoon,
79,Alaska,Juneau,236
80,Alaska,Kenai Peninsula,
81,Alaska,Ketchikan Gateway,30
82,Alaska,Kodiak Island,
83,Alaska,Kusilvak,
84,Alaska,Lake and Peninsula,
85,Alaska,Matanuska-Susitna,
86,Alaska,Nome,
87,Alaska,North Slope,79
88,Alaska,Northwest Arctic,
89,Alaska,Petersburg,13
90,Alaska,Prince of Wales-Hyder,
91,Alaska,Sitka,9
92,Alaska,Skagway,4
93,Alaska,Southeast Fairbanks,
94,Alaska,Valdez-Cordova,20
95,Alaska,Wrangell,0
96,Alaska,Yakutat,
97,Alaska,Yukon-Koyukuk,
98,Arizona,Apache,79
99,Arizona,Cochise,366
100,Arizona,Coconino,498
101,Arizona,Gila,303
102,Arizona,Graham,36
103,Arizona,Greenlee,4
104,Arizona,La Paz,50
105,Arizona,Maricopa,17044
106,Arizona,Mohave,445
107,Arizona,Navajo,304
108,Arizona,Pima,4761
109,Arizona,Pinal,884
110,Arizona,Santa Cruz,66
111,Arizona,Yavapai,527
112,Arizona,Yuma,678
113,Arkansas,Arkansas,88
114,Arkansas,Ashley,67
115,Arkansas,Baxter,75
116,Arkansas,Benton,662
117,Arkansas,Boone,206
118,Arkansas,Bradley,29
119,Arkansas,Calhoun,11
120,Arkansas,Carroll,94
121,Arkansas,Chicot,41
122,Arkansas,Clark,75
123,Arkansas,Clay,33
124,Arkansas,Cleburne,94
125,Arkansas,Cleveland,8
126,Arkansas,Columbia,76
127,Arkansas,Conway,45
128,Arkansas,Craighead,450
129,Arkansas,Crawford,234
130,Arkansas,Crittenden,624
131,Arkansas,Cross,115
132,Arkansas,Dallas,46
133,Arkansas,Desha,62
134,Arkansas,Drew,68
135,Arkansas,Faulkner,441
136,Arkansas,Franklin,76
137,Arkansas,Fulton,23
138,Arkansas,Garland,512
139,Arkansas,Grant,46
140,Arkansas,Greene,167
141,Arkansas,Hempstead,140
142,Arkansas,Hot Spring,77
143,Arkansas,Howard,21
144,Arkansas,Independence,184
145,Arkansas,Izard,30
146,Arkansas,Jackson,120
147,Arkansas,Jefferson,719
148,Arkansas,Johnson,64
149,Arkansas,Lafayette,13
150,Arkansas,Lawrence,38
151,Arkansas,Lee,29
152,Arkansas,Lincoln,22
153,Arkansas,Little River,18
154,Arkansas,Logan,82
155,Arkansas,Lonoke,244
156,Arkansas,Madison,30
157,Arkansas,Marion,56
158,Arkansas,Miller,235
159,Arkansas,Mississippi,432
160,Arkansas,Monroe,28
161,Arkansas,Montgomery,20
162,Arkansas,Nevada,17
163,Arkansas,Newton,25
164,Arkansas,Ouachita,113
165,Arkansas,Perry,53
166,Arkansas,Phillips,146
167,Arkansas,Pike,16
168,Arkansas,Poinsett,79
169,Arkansas,Polk,60
170,Arkansas,Pope,235
171,Arkansas,Prairie,14
172,Arkansas,Pulaski,4170
173,Arkansas,Randolph,52
174,Arkansas,St. Francis,204
175,Arkansas,Saline,415
176,Arkansas,Scott,33
177,Arkansas,Searcy,10
178,Arkansas,Sebastian,808
179,Arkansas,Sevier,38
180,Arkansas,Sharp,
181,Arkansas,Stone,30
182,Arkansas,Union,234
183,Arkansas,Van Buren,47
184,Arkansas,Washington,700
185,Arkansas,White,189
186,Arkansas,Woodruff,11
187,Arkansas,Yell,73
188,California,Alameda,10242
189,California,Alpine,5
190,California,Amador,87
191,California,Butte,734
192,California,Calaveras,146
193,California,Colusa,43
194,California,Contra Costa,3773
