Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,,
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,,
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.90992219,48.80981729,48.70971239,48.60961062,48.50950572,48.40940082,48.30929592,48.20919101,48.10908925,48.00898434,47.90887944,47.80877454,47.70866964,47.60856787,47.50846297,47.40835807,47.30825316,47.20814826,47.10804649,47.00794159,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041,,
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78832072,28.71715239,28.64598629,28.57481796,28.50364964,28.43248131,28.36131298,28.29014688,28.21897855,28.14781022,28.07664189,28.17226215,28.26788241,28.36350267,28.45912516,28.55474542,28.51021871,28.46569423,28.42116753,28.37664305,28.33211634,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701,,
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,,
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.732633546,1.727573626,1.72251157,1.717451703,1.712392723,1.707332812,1.702273791,1.697213921,1.692154943,1.687095963,1.682036052,1.683075647,1.684114311,1.685179963,1.686220144,1.687258255,1.693576654,1.699901841,1.70622771,1.71293858,1.7192695,1.713112687,1.706957034,1.700830065,1.694674616,1.688517408,1.682361256,,
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44973247,3.541255984,3.632779499,3.724303013,3.815826528,3.907350042,3.998873557,4.090397071,4.181920586,4.2734441,4.364967615,4.370599745,4.376231875,4.381864435,4.387496566,4.393128696,4.408054035,4.422979374,4.437904712,4.452830051,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852,,
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7135335,12.60635995,12.4991864,12.39201428,12.28484073,12.17766718,12.07049363,11.9633208,11.85614725,11.74897441,11.64180086,11.51946301,11.39712587,11.27478801,11.15245087,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818,,
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76677204,11.75272216,11.75272238,11.74569701,11.73867272,11.73164735,11.72462198,11.71759769,11.71057232,11.70354802,11.69652266,11.68949729,11.68247299,11.67544763,11.66842333,11.66139796,11.6543726,11.6473483,11.64032293,11.63329864,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333,,
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94999695,91.75000191,91.59999847,91.45000458,91.25,91.09999657,90.95000267,90.74999809,90.6000042,90.39999962,90.24999619,90.10000229,89.89999771,89.75000381,89.54999924,89.3999958,89.25000191,89.04999733,88.90000343,88.75,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5,,
