,State,County,Income
0,Alabama,Autauga County,55317
1,Alabama,Baldwin County,52562
2,Alabama,Barbour County,33368
3,Alabama,Bibb County,43404
4,Alabama,Blount County,47412
5,Alabama,Bullock County,29655
6,Alabama,Butler County,36326
7,Alabama,Calhoun County,43686
8,Alabama,Chambers County,37342
9,Alabama,Cherokee County,40041
10,Alabama,Chilton County,43501
11,Alabama,Choctaw County,32122
12,Alabama,Clarke County,33827
13,Alabama,Clay County,37287
14,Alabama,Cleburne County,37396
15,Alabama,Coffee County,49821
16,Alabama,Colbert County,45477
17,Alabama,Conecuh County,30434
18,Alabama,Coosa County,34792
19,Alabama,Covington County,39467
20,Alabama,Crenshaw County,38937
21,Alabama,Cullman County,40997
22,Alabama,Dale County,44711
23,Alabama,Dallas County,30065
24,Alabama,DeKalb County,38842
25,Alabama,Elmore County,54981
26,Alabama,Escambia County,35026
27,Alabama,Etowah County,42064
28,Alabama,Fayette County,36541
29,Alabama,Franklin County,39501
30,Alabama,Geneva County,39293
31,Alabama,Greene County,20954
32,Alabama,Hale County,34679
33,Alabama,Henry County,45569
34,Alabama,Houston County,42803
35,Alabama,Jackson County,39281
36,Alabama,Jefferson County,49321
37,Alabama,Lamar County,36016
38,Alabama,Lauderdale County,44888
39,Alabama,Lawrence County,43779
40,Alabama,Lee County,47564
41,Alabama,Limestone County,52831
42,Alabama,Lowndes County,29785
43,Alabama,Macon County,32308
44,Alabama,Madison County,61318
45,Alabama,Marengo County,32255
46,Alabama,Marion County,35719
47,Alabama,Marshall County,41104
48,Alabama,Mobile County,45802
49,Alabama,Monroe County,26036
50,Alabama,Montgomery County,46545
51,Alabama,Morgan County,47529
52,Alabama,Perry County,22973
53,Alabama,Pickens County,36220
54,Alabama,Pike County,35684
55,Alabama,Randolph County,39485
56,Alabama,Russell County,38988
57,Alabama,St. Clair County,53483
58,Alabama,Shelby County,74063
59,Alabama,Sumter County,21663
60,Alabama,Talladega County,39219
61,Alabama,Tallapoosa County,42181
62,Alabama,Tuscaloosa County,50513
63,Alabama,Walker County,38872
64,Alabama,Washington County,42185
65,Alabama,Wilcox County,27012
66,Alabama,Winston County,35362
67,Alaska,Aleutians East Borough,66607
68,Alaska,Aleutians West Census Area,85192
69,Alaska,Anchorage Municipality,82271
70,Alaska,Bethel Census Area,53853
71,Alaska,Bristol Bay Borough,79500
72,Alaska,Denali Borough,83295
73,Alaska,Dillingham Census Area,58708
74,Alaska,Fairbanks North Star Borough,76250
75,Alaska,Haines Borough,70640
76,Alaska,Hoonah-Angoon Census Area,57900
77,Alaska,Juneau City and Borough,90749
78,Alaska,Kenai Peninsula Borough,65279
79,Alaska,Ketchikan Gateway Borough,67321
80,Alaska,Kodiak Island Borough,74167
81,Alaska,Kusilvak Census Area,36468
82,Alaska,Lake and Peninsula Borough,45208
83,Alaska,Matanuska-Susitna Borough,74887
84,Alaska,Nome Census Area,53821
85,Alaska,North Slope Borough,77266
86,Alaska,Northwest Arctic Borough,61533
87,Alaska,Petersburg Borough,63490
88,Alaska,Prince of Wales-Hyder Census Area,52114
89,Alaska,Sitka City and Borough,70765
90,Alaska,Skagway Municipality,70673
91,Alaska,Southeast Fairbanks Census Area,63866
92,Alaska,Valdez-Cordova Census Area,86019
93,Alaska,Wrangell City and Borough,56094
94,Alaska,Yakutat City and Borough,64583
95,Alaska,Yukon-Koyukuk Census Area,37819
96,Arizona,Apache County,32360
97,Arizona,Cochise County,47847
98,Arizona,Coconino County,53523
99,Arizona,Gila County,41179
100,Arizona,Graham County,48173
101,Arizona,Greenlee County,56298
102,Arizona,La Paz County,36479
103,Arizona,Maricopa County,58580
104,Arizona,Mohave County,41567
105,Arizona,Navajo County,38798
106,Arizona,Pima County,48676
107,Arizona,Pinal County,52628
108,Arizona,Santa Cruz County,39630
109,Arizona,Yavapai County,48259
110,Arizona,Yuma County,43253
111,Arkansas,Arkansas County,38532
112,Arkansas,Ashley County,36407
113,Arkansas,Baxter County,40072
114,Arkansas,Benton County,61271
115,Arkansas,Boone County,40727
116,Arkansas,Bradley County,36310
117,Arkansas,Calhoun County,37225
118,Arkansas,Carroll County,39686
119,Arkansas,Chicot County,32412
120,Arkansas,Clark County,37144
121,Arkansas,Clay County,32219
122,Arkansas,Cleburne County,42312
123,Arkansas,Cleveland County,44840
124,Arkansas,Columbia County,37072
125,Arkansas,Conway County,39638
126,Arkansas,Craighead County,45672
127,Arkansas,Crawford County,43504
128,Arkansas,Crittenden County,38558
129,Arkansas,Cross County,41081
130,Arkansas,Dallas County,35794
131,Arkansas,Desha County,27036
132,Arkansas,Drew County,36092
133,Arkansas,Faulkner County,50316
134,Arkansas,Franklin County,39472
135,Arkansas,Fulton County,36051
136,Arkansas,Garland County,41672
137,Arkansas,Grant County,49968
138,Arkansas,Greene County,45566
139,Arkansas,Hempstead County,38701
140,Arkansas,Hot Spring County,40626
141,Arkansas,Howard County,34851
142,Arkansas,Independence County,39945
143,Arkansas,Izard County,39135
144,Arkansas,Jackson County,32783
145,Arkansas,Jefferson County,37630
146,Arkansas,Johnson County,35758
