State_x,County,State,Population,Household Income,Poverty Rate,Unemployment Rate
5,Carroll County, Arkansas,27690,38145,17.29505237,2.668833514
5,Chicot County, Arkansas,11189,29628,29.06425954,3.986057735
5,Clark County, Arkansas,22684,35595,20.99277023,3.782401693
5,Clay County, Arkansas,15202,32404,21.97079332,3.118010788
5,Cleburne County, Arkansas,25587,41717,15.24602337,3.529135889
5,Cleveland County, Arkansas,8421,42429,19.84324902,3.764398527
5,Columbia County, Arkansas,24168,36507,23.09251903,4.319761668
5,Conway County, Arkansas,21060,38266,21.28205128,3.086419753
5,Craighead County, Arkansas,102884,43892,18.15831422,3.092803546
5,Crawford County, Arkansas,61927,41792,18.55571883,3.132720784
5,Crittenden County, Arkansas,49511,39407,24.21886046,4.136454525
5,Cross County, Arkansas,17329,39306,19.41254544,3.30659588
5,Dallas County, Arkansas,7738,35745,13.62109072,2.933574567
5,Desha County, Arkansas,12234,26519,31.54324015,5.3212359
5,Drew County, Arkansas,18688,33092,25.9578339,5.864726027
5,Faulkner County, Arkansas,120417,50872,15.43801955,2.938123355
5,Franklin County, Arkansas,17799,39482,20.69779201,3.584471038
5,Fulton County, Arkansas,12186,35593,22.72279665,2.790086985
5,Garland County, Arkansas,97119,40011,20.22158383,4.125866205
5,Grant County, Arkansas,18046,49195,12.84495179,3.690568547
5,Greene County, Arkansas,43745,42755,17.42141959,3.714710253
5,Hempstead County, Arkansas,22208,34072,26.39139049,3.525756484
5,Hot Spring County, Arkansas,33440,42589,15.98983254,2.954545455
5,Howard County, Arkansas,13487,34672,19.31489583,3.254986283
5,Independence County, Arkansas,37030,37592,18.60923575,3.043478261
5,Izard County, Arkansas,13461,35188,20.61511032,3.625287869
5,Jackson County, Arkansas,17495,31245,22.09774221,2.606458988
5,Jefferson County, Arkansas,72385,36377,23.4288872,4.05747047
5,Johnson County, Arkansas,26025,34031,20.8184438,2.428434198
5,Lafayette County, Arkansas,7127,29882,25.67700295,4.419811983
5,Lawrence County, Arkansas,16915,33381,22.70174401,3.428909252
5,Lee County, Arkansas,9781,25724,25.01789183,5.602699111
5,Lincoln County, Arkansas,13935,32369,15.48618586,3.092931468
5,Little River County, Arkansas,12616,35396,18.89663919,3.582752061
5,Logan County, Arkansas,21935,36463,18.55937999,3.410075222
5,Lonoke County, Arkansas,71279,56156,11.97407371,2.710475736
5,Madison County, Arkansas,15761,39839,17.91130004,2.303153353
5,Marion County, Arkansas,16404,33726,19.62935869,3.712509144
5,Miller County, Arkansas,43666,39955,20.03618376,4.014565108
5,Mississippi County, Arkansas,44199,35003,25.01640309,4.803276092
5,Monroe County, Arkansas,7542,31541,28.36117741,4.839565102
5,Montgomery County, Arkansas,9100,35103,18.42857143,1.747252747
5,Nevada County, Arkansas,8668,30750,30.16843563,2.849561606
5,Newton County, Arkansas,7988,33176,21.444667,2.065598398
5,Ouachita County, Arkansas,24728,31233,24.14267227,3.494014882
5,Perry County, Arkansas,10246,45819,17.60687097,3.093890299
5,Phillips County, Arkansas,19929,26829,33.05735361,7.155401676
5,Pike County, Arkansas,11017,34519,18.12653172,2.459834801
5,Poinsett County, Arkansas,24131,35163,21.70651859,2.788943682
5,Polk County, Arkansas,20290,33202,24.98275012,3.356333169
5,Pope County, Arkansas,63107,40534,18.41317128,3.322927726
5,Prairie County, Arkansas,8334,37500,19.4024478,2.999760019
5,Pulaski County, Arkansas,391806,47101,17.72994798,3.180910961
5,Randolph County, Arkansas,17584,36318,19.09121929,1.666287534
5,St. Francis County, Arkansas,27023,35066,21.31887651,4.163120305
5,Saline County, Arkansas,115577,57632,8.397864627,2.348218071
5,Scott County, Arkansas,10661,37861,20.67348279,5.337210393
5,Searcy County, Arkansas,7938,35542,20.39556563,1.650289746
5,Sebastian County, Arkansas,127351,40023,21.78624432,2.486827744
5,Sevier County, Arkansas,17193,38956,22.12528355,3.100098877
5,Sharp County, Arkansas,17027,31068,21.7947965,2.989369824
